ID_Zindi,Date,ID,LAT,LON,Precipitation,LST,AAI,CloudFraction,NO2_strat,NO2_total,NO2_trop,TropopausePressure,GT_NO2
ID_QJFXVO,2/1/19,X10038,45.61924378,8.756970445,0.0,283.28,-0.782816231,0.0,3.19e-05,5.66e-05,2.47e-05,19259.43331,30.4
ID_XJ1OU9,2/1/19,X10167,45.01687782,11.07609463,0.0,,-0.436368048,0.62083137,3.53e-05,0.000124,,22232.35954,24.55
ID_0Y5EKY,2/1/19,X12017,45.15046887,9.930596472,0.0,,-0.378964514,0.402004808,3.38e-05,0.000233,,19332.66829,21.6
ID_4VCKYZ,2/1/19,X20034,45.10276628,8.904174528,0.0,282.84,-0.760652815,0.0,3.29e-05,7.6e-05,4.31e-05,19306.23166,24.15
ID_TBG91Q,2/1/19,X5520,45.52655087,8.736496578,0.0,283.94,-0.824990356,0.0,3.21e-05,5.83e-05,2.62e-05,19273.14724,9.45
ID_NW6OF5,2/1/19,X5548,45.2819562,8.988562727,0.0,283.7,-0.807913959,0.0,3.29e-05,6.16e-05,2.87e-05,19310.98883,15.675
ID_1GJ86X,2/1/19,X5554,45.54851736,8.847321929,0.0,284.0,-0.75023067,0.0,3.22e-05,7.38e-05,4.16e-05,19273.07091,6.425
ID_FRL1ZI,2/1/19,X5950,45.27848755,10.00620239,0.0,,-0.372847021,0.395598352,3.37e-05,0.000184,,19334.09481,17.0
ID_PONF10,2/1/19,X6685,45.1946761,9.164638301,0.0,283.32,-0.766085902,0.0,3.32e-05,7.05e-05,3.73e-05,19319.40018,29.275
ID_O7O5V9,2/1/19,X6871,45.14526013,10.80332595,0.0,277.4,-0.64065489,0.505660428,3.39e-05,0.000121,,19322.92449,30.075
ID_4BWG8B,2/1/19,X9802,45.16056833,10.79556411,0.0,277.5,-0.629292011,0.510252535,3.39e-05,0.00012,,19322.91662,23.1
ID_RQEGXM,2/1/19,X9928,45.14254063,10.04383616,0.0,,-0.642626107,0.399141312,3.38e-05,0.000207,,19329.14668,30.425
ID_2EYK78,3/1/19,PD04,45.37100479,11.84082978,0.0,276.98,-0.814077437,0.0,2.87e-05,0.000104,7.52e-05,22281.90326,67.0
ID_IJTAGC,3/1/19,TV01,45.88973369,12.30712448,0.0,279.16,-0.725068271,0.0,2.7e-05,0.000108,8.08e-05,22201.22516,39.0
ID_95EHDV,3/1/19,TV02,45.67172072,12.23780698,0.0,278.5,-0.835480034,0.0,2.77e-05,0.000225,0.000198,22236.54003,68.0
ID_2WH2HH,3/1/19,VE01,45.6290925,12.59068235,0.524799466,280.94,-0.696175575,0.0,2.8e-05,8.51e-05,5.71e-05,22226.04752,52.0
ID_MAPTEE,3/1/19,VR02,45.18262647,11.31051146,0.0,272.94,-0.292682777,0.0,2.93e-05,8.01e-05,5.08e-05,22282.10703,37.0
ID_98HZ6B,3/1/19,X10038,45.61924378,8.756970445,0.0,,-1.331471086,0.132098362,2.73e-05,0.00021,,22162.37328,46.525
ID_11XZIC,3/1/19,X10167,45.01687782,11.07609463,0.0,,-0.651168219,0.109905429,2.99e-05,6.42e-05,,22256.90376,31.7
ID_H97EHO,3/1/19,X12017,45.15046887,9.930596472,0.0,,-1.095526457,0.087485872,2.97e-05,0.000101,7.12e-05,22284.58944,26.75
ID_KWDGI0,3/1/19,X20034,45.10276628,8.904174528,0.0,,-1.224559307,0.156608552,2.96e-05,0.000111,,22238.83436,19.575
ID_HL13WT,3/1/19,X5520,45.52655087,8.736496578,0.0,281.38,-1.162786365,0.033390477,2.75e-05,0.000149,0.000121,22179.5848,25.05
ID_MMUAKW,3/1/19,X5548,45.2819562,8.988562727,0.0,,-1.325841784,0.111871243,2.9e-05,0.000104,,22244.06769,22.8
ID_3VN168,3/1/19,X5554,45.54851736,8.847321929,0.0,280.02,-0.854895631,0.0,2.75e-05,0.000227,0.0002,22176.82055,28.825
ID_T9267W,3/1/19,X5950,45.27848755,10.00620239,0.0,277.98,-0.859141646,0.000181,2.92e-05,7.52e-05,4.6e-05,22288.46816,27.5
ID_2PMSYU,3/1/19,X6685,45.1946761,9.164638301,0.0,,-1.377511263,0.325374991,2.93e-05,0.000124,,22258.38448,41.6
ID_KI16SH,3/1/19,X6871,45.14526013,10.80332595,0.0,277.14,-1.023468375,0.014583373,2.94e-05,7.36e-05,4.41e-05,22274.15606,45.375
ID_FF0CGT,3/1/19,X9802,45.16056833,10.79556411,0.0,277.54,-1.023468375,0.014583373,2.94e-05,7.36e-05,4.41e-05,22274.15606,42.975
ID_ZAUFDU,3/1/19,X9928,45.14254063,10.04383616,0.0,278.98,-0.906752507,0.0,2.97e-05,0.000109,7.98e-05,22279.88972,61.125
ID_E87Q10,4/1/19,PD04,45.37100479,11.84082978,3.0473423,277.52,-1.040359139,0.0,2.08e-05,0.000155,0.000134,19348.78746,65.0
ID_FKGHU9,4/1/19,RO02,45.10407489,11.55324086,1.200466871,276.1,-1.22853756,0.0,2.14e-05,9.6e-05,7.46e-05,19343.97887,28.0
ID_TKH24K,4/1/19,TV01,45.88973369,12.30712448,0.0,,-0.68278867,0.306299627,1.96e-05,0.000101,,19298.29608,37.0
ID_YGIT42,4/1/19,TV02,45.67172072,12.23780698,0.0,,-0.817867246,0.164098621,2.01e-05,0.000166,,19326.30354,56.0
ID_F60EER,4/1/19,VE01,45.6290925,12.59068235,0.0,274.14,-0.922765017,0.029696105,2.01e-05,0.000128,0.000108,19316.74489,57.0
ID_ZQOCER,4/1/19,VR02,45.18262647,11.31051146,0.0,277.08,-1.059436083,0.0,2.13e-05,0.00015,0.000129,19350.39126,49.0
ID_G5GGEJ,4/1/19,X10038,45.61924378,8.756970445,0.0,,-1.265063286,0.164193854,1.91e-05,0.000321,,16705.57552,73.5
ID_4JA7ZZ,4/1/19,X10167,45.01687782,11.07609463,0.0,,-1.402872205,0.14676562,2.17e-05,0.000139,,19333.65872,36.675
ID_7VLE8F,4/1/19,X12017,45.15046887,9.930596472,0.0,276.56,-1.083928108,0.022144614,2.04e-05,0.000108,8.74e-05,16745.94051,41.0
ID_H6OWMA,4/1/19,X20034,45.10276628,8.904174528,2.678740263,,-1.149203181,0.109286211,2.04e-05,0.000198,,16732.5621,29.825
ID_WT9NCD,4/1/19,X5520,45.52655087,8.736496578,0.0,,-1.246834975,0.17193517,1.92e-05,0.000294,,16713.7271,51.225
ID_OEGCV7,4/1/19,X5548,45.2819562,8.988562727,3.441303492,,-1.408326626,0.206597805,2e-05,0.0003,,16733.56238,30.15
ID_AS5Z8R,4/1/19,X5554,45.54851736,8.847321929,1.584458947,,-1.37086002,0.152993066,1.93e-05,0.000312,,16711.77597,48.9
ID_HYKM1C,4/1/19,X5950,45.27848755,10.00620239,0.0,275.94,-1.131764889,0.016978502,2.02e-05,0.000122,0.000102,16746.5071,29.25
ID_XSPKZL,4/1/19,X6685,45.1946761,9.164638301,2.61111474,,-1.277732372,0.310355008,2.03e-05,0.00026,,16740.01998,50.475
ID_I6A3MS,4/1/19,X6871,45.14526013,10.80332595,0.0,277.24,-1.042579055,0.0,2.01e-05,0.000204,0.000184,16741.11471,53.5
ID_YTYVGJ,4/1/19,X9802,45.16056833,10.79556411,0.0,277.52,-1.074697181,0.0,2.01e-05,0.000181,0.000161,16742.60397,47.06666667
ID_K1LBL1,4/1/19,X9928,45.14254063,10.04383616,0.0,275.82,-1.379386425,0.054533936,2.04e-05,0.000128,0.000107,16744.20263,54.2
ID_P7A6Y7,5/1/19,PD04,45.37100479,11.84082978,0.0,,-1.096351369,0.393775017,1.7e-05,0.00018,,16731.79049,64.0
ID_D8S4HU,5/1/19,RO02,45.10407489,11.55324086,1.200466871,,-1.046672702,0.307918519,1.73e-05,0.000169,,16729.11742,39.0
ID_5EUJKO,5/1/19,TV01,45.88973369,12.30712448,0.0,,0.281410486,0.018079624,1.65e-05,9.39e-05,7.74e-05,16706.97158,38.0
ID_B32Y8I,5/1/19,TV02,45.67172072,12.23780698,0.0,,-1.209672928,0.489591479,1.67e-05,0.000135,,16721.74144,54.0
ID_XIVKVZ,5/1/19,VE01,45.6290925,12.59068235,0.524799466,,-1.437175989,0.137055352,1.65e-05,0.000121,,16716.15526,61.0
ID_2I98ZK,5/1/19,VR02,45.18262647,11.31051146,0.0,,-1.112509819,0.416569722,1.73e-05,0.000319,,16732.86284,54.0
ID_K3WDQY,5/1/19,X10038,45.61924378,8.756970445,0.0,280.38,-0.676363301,0.035561867,1.66e-05,0.000209,,14421.85942,78.575
ID_OIFDH1,5/1/19,X10167,45.01687782,11.07609463,0.0,,-1.04254055,0.4354496,1.75e-05,0.000353,,16724.96549,46.125
ID_TUKOLN,5/1/19,X12017,45.15046887,9.930596472,1.876740813,275.82,-0.638220221,0.065647129,1.76e-05,0.00033,0.000299,14439.76795,37.8
ID_DL8XLN,5/1/19,X20034,45.10276628,8.904174528,2.678740263,278.4,-0.655619348,0.053082058,1.75e-05,0.000201,0.000206,14434.10817,42.25
ID_MYFXQR,5/1/19,X5520,45.52655087,8.736496578,0.0,279.74,-0.68266058,0.037697138,1.67e-05,0.000176,0.000189,14425.97643,67.9
ID_FMCACR,5/1/19,X5548,45.2819562,8.988562727,3.441303492,278.62,-0.649541619,0.043864307,1.73e-05,0.000216,0.000202,14434.15066,37.15
ID_CPLLTT,5/1/19,X5554,45.54851736,8.847321929,0.0,280.44,-0.662405236,0.041763771,1.68e-05,0.00019,0.000178,14425.07094,60.025
ID_C96BBI,5/1/19,X5950,45.27848755,10.00620239,1.516463637,277.46,-0.656526208,0.051086506,1.78e-05,0.000267,0.000259,15587.26128,35.825
ID_Y57FNI,5/1/19,X6685,45.1946761,9.164638301,2.61111474,278.04,-0.666077375,0.06024106,1.75e-05,0.000267,,14437.02622,50.1
ID_CX5V0J,5/1/19,X6871,45.14526013,10.80332595,0.0,275.04,-0.955711628,0.057241295,1.74e-05,0.000167,0.00015,16728.59786,72.525
ID_VUFBZS,5/1/19,X9802,45.16056833,10.79556411,0.0,275.92,-0.966495991,0.000364,1.74e-05,0.000239,0.000222,16730.99172,57.05
ID_SALZ6L,5/1/19,X9928,45.14254063,10.04383616,1.928030849,276.7,-0.621298075,0.061075943,1.82e-05,0.000255,0.000193,16732.51469,53.525
ID_7XAIC2,6/1/19,RO02,45.10407489,11.55324086,0.0,278.8,-0.591507167,0.059916282,2.25e-05,0.000253,0.000231,16728.52408,40.0
ID_XUC64R,6/1/19,TV01,45.88973369,12.30712448,0.0,280.32,-0.419448078,0.020619364,2.22e-05,9.39e-05,6.23e-05,17993.23534,40.0
ID_9SH4WL,6/1/19,TV02,45.67172072,12.23780698,0.0,278.52,-0.568465203,0.05890969,2.25e-05,0.000132,0.00011,18010.54533,55.0
ID_DIR0QH,6/1/19,VE01,45.6290925,12.59068235,0.0,278.68,-0.448502791,0.07100394,2.27e-05,0.000115,9.19e-05,18004.08918,69.0
ID_JJIY20,6/1/19,VR02,45.18262647,11.31051146,0.0,277.16,-0.559025303,0.072830776,2.23e-05,0.000217,0.000208,16733.09018,54.0
ID_5K08O9,6/1/19,X10038,45.61924378,8.756970445,0.0,286.78,-0.73478067,0.005680568,2.02e-05,5.7e-05,,16698.38586,54.15
ID_AYUKDL,6/1/19,X10167,45.01687782,11.07609463,0.0,279.1,-0.693446462,0.051923309,2.24e-05,0.000194,0.000204,16725.48099,45.95
ID_IF4REX,6/1/19,X12017,45.15046887,9.930596472,0.0,279.32,-0.652607681,0.039821722,2.2e-05,0.00018,0.000172,16733.71971,40.125
ID_NCN5XI,6/1/19,X20034,45.10276628,8.904174528,0.0,280.82,-0.681429591,0.02656134,2.14e-05,0.000141,,16721.24626,32.475
ID_HWEIUT,6/1/19,X5520,45.52655087,8.736496578,0.0,285.34,-0.719296366,0.009614946,2.04e-05,8.3e-05,,16705.88755,38.675
ID_FH411E,6/1/19,X5548,45.2819562,8.988562727,0.0,280.08,-0.700482278,0.017405132,2.11e-05,0.000127,,16721.71806,35.275
ID_Z8JILH,6/1/19,X5554,45.54851736,8.847321929,0.0,284.88,-0.734180778,0.012803839,2.05e-05,3.48e-05,,16701.78584,43.75
ID_0GFOB0,6/1/19,X5950,45.27848755,10.00620239,0.0,279.22,-0.677649123,0.027590906,2.19e-05,0.000155,0.000155,16734.94631,32.475
ID_ZB82EE,6/1/19,X6685,45.1946761,9.164638301,0.0,280.58,-0.689094581,0.036416002,2.15e-05,0.000185,,16728.27367,47.95
ID_BI2E5S,6/1/19,X6871,45.14526013,10.80332595,0.0,277.66,-0.687138555,0.03415667,2.22e-05,0.000185,0.000191,16730.26546,58.4
ID_81D1GZ,6/1/19,X9802,45.16056833,10.79556411,0.0,277.72,-0.693977056,0.032032663,2.22e-05,0.000178,0.000188,16730.69326,43.8
ID_3AB22A,6/1/19,X9928,45.14254063,10.04383616,0.0,279.56,-0.649503701,0.036028945,2.2e-05,0.000164,0.00017,16732.81108,51.8
ID_ZJ8AJR,7/1/19,PD04,45.37100479,11.84082978,0.0,,-0.390526108,0.430844277,2.48e-05,8.19e-05,,16740.51795,62.0
ID_P3Y9MS,7/1/19,RO02,45.10407489,11.55324086,0.0,279.1,-0.760818362,0.095618695,2.52e-05,0.000103,7.82e-05,16737.60695,34.0
ID_IW54M8,7/1/19,TV01,45.88973369,12.30712448,0.0,,0.197733402,0.831944466,2.4e-05,4.5e-05,,16716.06289,39.0
ID_XT5H73,7/1/19,TV02,45.67172072,12.23780698,0.0,,-0.188940563,0.692608903,2.43e-05,4.23e-05,,16728.27287,48.0
ID_YBSXO3,7/1/19,VE01,45.6290925,12.59068235,0.0,,-0.12126032,0.743707638,2.44e-05,4.05e-05,,16725.21379,49.0
ID_FYLDKA,7/1/19,VR02,45.18262647,11.31051146,0.0,281.42,-0.482723758,0.210340696,2.51e-05,0.00011,7.34e-05,16740.84174,47.0
ID_5M81G4,7/1/19,X10038,45.61924378,8.756970445,0.0,282.04,-0.947164291,0.05482914,2.54e-05,0.000307,0.000282,16704.51336,65.025
ID_KBNB02,7/1/19,X10167,45.01687782,11.07609463,0.0,282.36,-0.444903202,0.162690274,2.54e-05,0.000149,0.000124,16733.16868,44.475
ID_F8BNVI,7/1/19,X12017,45.15046887,9.930596472,0.0,277.68,-0.26471907,0.211878537,2.53e-05,0.000202,0.000185,16742.23261,50.9
ID_FKWY8W,7/1/19,X20034,45.10276628,8.904174528,0.0,281.62,-0.905439118,0.038302323,2.62e-05,0.000244,0.000218,16729.2034,42.725
ID_8VNQ1G,7/1/19,X5520,45.52655087,8.736496578,0.0,282.02,-0.989191353,0.049776647,2.54e-05,0.000313,0.000287,16709.9026,71.25
ID_D49DBW,7/1/19,X5548,45.2819562,8.988562727,0.0,280.98,-0.924894318,0.064746503,2.59e-05,0.000246,0.00022,16728.16896,47.6
ID_TIKSRY,7/1/19,X5554,45.54851736,8.847321929,0.0,282.82,-0.947116912,0.061159951,2.55e-05,0.000318,0.000293,16711.2769,52.7
ID_F8E2H5,7/1/19,X5950,45.27848755,10.00620239,0.0,279.68,-0.336414948,0.195026405,2.52e-05,0.000174,0.000156,16743.75644,34.7
ID_RFFPM5,7/1/19,X6685,45.1946761,9.164638301,0.0,280.78,-0.932008266,0.071245022,2.62e-05,0.000253,0.000227,16735.96352,59.25
ID_W0HSMN,7/1/19,X6871,45.14526013,10.80332595,0.0,279.64,-0.530540284,0.145730853,2.52e-05,0.000159,0.000134,16738.68342,82.6
ID_VHS955,7/1/19,X9802,45.16056833,10.79556411,0.0,282.1,-0.530540284,0.145730853,2.52e-05,0.000159,0.000134,16738.68342,58.55
ID_II4LRW,7/1/19,X9928,45.14254063,10.04383616,0.0,280.62,-0.239954226,0.21023732,2.53e-05,0.000178,0.000146,16741.2693,64.125
ID_L48ERJ,8/1/19,PD04,45.37100479,11.84082978,7.134931564,,-0.726760587,0.542378288,2.63e-05,0.00015,,16724.75768,58.0
ID_FMM23W,8/1/19,RO02,45.10407489,11.55324086,2.827477217,,-1.240011215,0.471561611,2.65e-05,0.000261,,16723.70169,27.0
ID_SFMCFC,8/1/19,TV01,45.88973369,12.30712448,1.348731279,,-2.519505024,0.464128762,2.58e-05,4.39e-05,,16701.73728,38.0
ID_5PG1FO,8/1/19,TV02,45.67172072,12.23780698,3.522610903,,-1.161197662,0.795385897,2.59e-05,6.73e-05,,16713.36333,49.0
ID_I9JMEE,8/1/19,VE01,45.6290925,12.59068235,1.21745193,,-0.502609134,0.844765902,2.59e-05,0.000113,,16709.23123,49.0
ID_GL0VH2,8/1/19,VR02,45.18262647,11.31051146,5.896400928,,-1.130869925,0.468781964,2.64e-05,0.000552,,16727.12633,38.0
ID_Z269GK,8/1/19,X10038,45.61924378,8.756970445,0.0,,-0.778856456,0.029116755,2.47e-05,0.000157,,16686.70842,55.225
ID_DGO6OG,8/1/19,X10167,45.01687782,11.07609463,2.820207357,,-0.999250114,0.643865228,2.64e-05,0.001369535,,16718.21024,43.275
ID_2HECY1,8/1/19,X12017,45.15046887,9.930596472,2.376237154,,-1.419162273,0.639636695,2.57e-05,0.001136399,,16727.63272,34.425
ID_UL1QCQ,8/1/19,X20034,45.10276628,8.904174528,0.0,,-1.66529727,0.63960743,2.52e-05,0.001440373,,16715.40494,37.05
ID_SBWI7I,8/1/19,X5520,45.52655087,8.736496578,0.0,,-1.188391685,0.088791743,2.48e-05,0.000245,,16698.79611,45.4
ID_D40LN8,8/1/19,X5548,45.2819562,8.988562727,0.0,,-1.398293495,0.467615157,2.51e-05,0.001035003,,16714.397,38.725
ID_CURYP2,8/1/19,X5554,45.54851736,8.847321929,0.0,,-0.886040032,0.094487481,2.49e-05,0.000301,,16698.83632,43.1
ID_LX53SA,8/1/19,X5950,45.27848755,10.00620239,1.632199764,,-1.067533197,0.641130686,2.58e-05,0.000591,,16728.74359,25.55
ID_LLT1QV,8/1/19,X6685,45.1946761,9.164638301,0.0,,-1.311365485,0.607328176,2.53e-05,0.000744,,16722.12624,51.825
ID_97IY81,8/1/19,X6871,45.14526013,10.80332595,3.650944233,,-0.975862548,0.697573895,2.62e-05,0.001614978,,16723.89758,42.53333333
ID_EBTBLI,8/1/19,X9802,45.16056833,10.79556411,3.284574032,,-0.971141201,0.684630226,2.62e-05,0.001546372,,16723.83034,42.225
ID_XUH3DP,8/1/19,X9928,45.14254063,10.04383616,2.37857461,,-1.436307943,0.634687058,2.58e-05,0.001020401,,16725.99522,45.025
ID_SAU73J,9/1/19,PD04,45.37100479,11.84082978,0.0,,-1.434908955,0.544176411,3.24e-05,0.000624,,24312.59116,47.0
ID_6G5AOI,9/1/19,RO02,45.10407489,11.55324086,0.0,,-0.155274168,0.840860903,3.23e-05,0.000271,,24301.04963,27.0
ID_7B4SKI,9/1/19,TV01,45.88973369,12.30712448,1.348731279,,-1.23020551,0.373704661,3.22e-05,0.000183,,24196.88392,42.0
ID_DJ7E9R,9/1/19,TV02,45.67172072,12.23780698,0.0,275.72,-1.28740418,0.044410702,3.25e-05,0.000233,0.0002,24259.97179,44.0
ID_BZY2AI,9/1/19,VE01,45.6290925,12.59068235,1.21745193,277.14,-1.150705218,0.066545777,3.29e-05,0.000129,9.62e-05,24241.992,55.0
ID_V3Y1A3,9/1/19,VR02,45.18262647,11.31051146,0.0,,-1.441960812,0.543723106,3.22e-05,0.000323,,24317.44751,43.0
ID_ODLHCG,9/1/19,X10038,45.61924378,8.756970445,6.371998787,282.5,-0.797091186,0.0,2.73e-05,5.29e-05,2.56e-05,22090.87549,20.675
ID_1UCIRZ,9/1/19,X10167,45.01687782,11.07609463,0.0,,-1.019373527,0.596688055,3.23e-05,0.000458,,24251.82583,41.825
ID_0ORT6N,9/1/19,X12017,45.15046887,9.930596472,0.0,268.7,-0.859968662,0.086174428,3.21e-05,5.92e-05,2.71e-05,24325.48648,37.425
ID_3AU9DY,9/1/19,X20034,45.10276628,8.904174528,0.83887893,,,,,,,,37.875
ID_6C4MQH,9/1/19,X5520,45.52655087,8.736496578,6.048645973,282.26,-0.85855931,0.0,2.74e-05,7.12e-05,4.37e-05,22105.57462,28.45
ID_385VF9,9/1/19,X5548,45.2819562,8.988562727,4.307723522,,-0.993720848,0.028345247,3.1e-05,6.14e-05,3.04e-05,24278.5129,30.9
ID_4R4CDG,9/1/19,X5554,45.54851736,8.847321929,4.83613205,282.46,-0.802759588,0.0,2.75e-05,7.69e-05,4.93e-05,22099.29141,15.425
ID_HI2CF4,9/1/19,X5950,45.27848755,10.00620239,1.632199764,274.92,-1.2286129,0.163008377,3.19e-05,6.96e-05,,24331.21427,28.975
ID_MPOO9J,9/1/19,X6685,45.1946761,9.164638301,2.513362885,273.88,-0.685147464,0.000217,3.13e-05,7.54e-05,4.41e-05,24298.22843,48.725
ID_YLR66R,9/1/19,X6871,45.14526013,10.80332595,0.0,,-1.001243472,0.583024323,3.23e-05,0.000233,,24302.60969,57.225
ID_MQ61ME,9/1/19,X9802,45.16056833,10.79556411,0.0,,-1.004749799,0.582118396,3.23e-05,0.000233,,24302.68288,41.6
ID_DZJKVZ,9/1/19,X9928,45.14254063,10.04383616,0.0,,-0.948887289,0.09567447,3.21e-05,0.000108,7.61e-05,24320.72539,47.925
ID_088MNC,10/1/19,PD04,45.37100479,11.84082978,0.0,,-0.82901144,0.119143628,3.12e-05,0.00017,0.000139,22219.34336,69.0
ID_GSOIN8,10/1/19,RO02,45.10407489,11.55324086,0.0,,-0.825451612,0.17044878,3.14e-05,0.000144,0.000113,22207.20861,25.0
ID_3NX1G7,10/1/19,TV01,45.88973369,12.30712448,0.0,279.5,-0.641959608,0.015142538,3.06e-05,0.000122,9.13e-05,22145.3617,44.0
ID_PG2D9U,10/1/19,TV02,45.67172072,12.23780698,0.0,,-0.808262804,0.423957957,3.1e-05,0.000219,,22181.1493,71.0
ID_H6192X,10/1/19,VE01,45.6290925,12.59068235,0.0,,-0.753578007,0.187666491,3.14e-05,0.000241,0.00021,22163.1543,65.0
ID_YTNZ7C,10/1/19,VR02,45.18262647,11.31051146,0.0,,-0.798643211,0.258565792,3.11e-05,0.000124,,22219.11634,42.0
ID_RSWDFD,10/1/19,X10038,45.61924378,8.756970445,3.185999393,283.52,-0.601559225,0.005561813,2.82e-05,9.25e-05,6.6e-05,22096.16806,15.425
ID_EKXOMI,10/1/19,X10167,45.01687782,11.07609463,0.0,,-0.820268154,0.171631038,3.11e-05,0.000136,,22196.73928,37.7
ID_5T9TCK,10/1/19,X12017,45.15046887,9.930596472,0.0,278.92,-0.795437038,0.023161616,2.99e-05,0.000118,8.78e-05,22225.71509,26.85
ID_UJ3CQ8,10/1/19,X20034,45.10276628,8.904174528,0.0,279.52,-0.53252154,0.007514026,2.95e-05,0.000186,0.000148,22182.87672,29.3
ID_OJVB7S,10/1/19,X5520,45.52655087,8.736496578,3.024322987,284.28,-0.589946851,0.007370064,2.84e-05,9.35e-05,7.55e-05,22130.82358,16.525
ID_UPPW9Q,10/1/19,X5548,45.2819562,8.988562727,0.0,282.28,-0.577034814,0.003111082,2.93e-05,0.000168,0.000125,22185.37155,24.575
ID_K3SZDX,10/1/19,X5554,45.54851736,8.847321929,2.418066025,284.14,-0.577681746,0.011722364,2.85e-05,0.0001,8.38e-05,22130.05644,9.45
ID_M03KAU,10/1/19,X5950,45.27848755,10.00620239,0.0,276.96,-0.847928261,0.006004606,2.97e-05,0.000123,9.36e-05,22230.93793,19.975
ID_S0BMMP,10/1/19,X6685,45.1946761,9.164638301,0.0,280.48,-0.725125313,0.0,2.88e-05,0.000236,0.000207,22200.86718,39.725
ID_ZP3QBS,10/1/19,X6871,45.14526013,10.80332595,0.0,,-0.618381381,0.486956388,3.07e-05,8.42e-05,,22211.81926,52.675
ID_LOVYIV,10/1/19,X9802,45.16056833,10.79556411,0.0,,-0.623748824,0.48432511,3.06e-05,0.000101,,22213.95374,44.75
ID_TP351N,10/1/19,X9928,45.14254063,10.04383616,0.0,277.22,-0.87935859,0.025750294,3e-05,0.000134,0.000104,22223.65278,51.025
ID_CWL6D8,11/1/19,PD04,45.37100479,11.84082978,0.0,280.78,-0.547003478,0.067865555,2.68e-05,0.000235,0.000209,16732.10475,75.0
ID_WTYPGS,11/1/19,RO02,45.10407489,11.55324086,0.0,279.56,-0.197983453,0.243703814,2.72e-05,0.00023,0.000163,16729.63111,28.0
ID_YUSVQO,11/1/19,TV01,45.88973369,12.30712448,0.0,279.42,-0.514283732,0.050821243,2.62e-05,0.000194,0.000168,16707.39941,37.0
